|                                                                          |   ncount |          mae |          rmse |               rsq |
| ('WN_Defect_Oct-Vac_shift', 'Unweighted', 'Testing', 'Energy')           |        4 |  1.06139     |   1.21754     |      -0.649934    |
| ('WN_Defect_Oct-Vac_shift', 'Unweighted', 'Testing', 'Force')            |     1536 |  0.565531    |   1.01629     |       0.601191    |
| ('WN_Defect_Oct-Vac_shift', 'weighted', 'Training', 'Energy')            |        8 |  0.0164407   |   0.0208132   |      -1.59417     |
| ('WN_Defect_Oct-Vac_shift', 'weighted', 'Training', 'Force')             |     3072 |  0.6208      |   1.15177     |       0.0988415   |
| ('WN_Defect_Oct-Vac_shift', 'weighted', 'Testing', 'Energy')             |        4 |  0.0106139   |   0.0121754   |      -0.649934    |
| ('WN_Defect_Oct-Vac_shift', 'weighted', 'Testing', 'Force')              |     1536 |  0.565531    |   1.01629     |       0.601191    |
| ('WN_Defect_Sub_shift', 'Unweighted', 'Training', 'Energy')              |        9 | 61.2161      | 171.401       |      -0.146105    |
| ('WN_Defect_Sub_shift', 'Unweighted', 'Training', 'Force')               |     3456 |  8.69575     |  57.2189      |       0.000852792 |
| ('WN_Defect_Sub_shift', 'Unweighted', 'Testing', 'Energy')               |        4 | 92.0439      | 122.696       |      -1.28715     |
| ('WN_Defect_Sub_shift', 'Unweighted', 'Testing', 'Force')                |     1536 | 19.4083      |  41.2673      |       0.00132889  |
| ('WN_Defect_Sub_shift', 'weighted', 'Training', 'Energy')                |        9 |  0.612161    |   1.71401     |      -0.146105    |
| ('WN_Defect_Sub_shift', 'weighted', 'Training', 'Force')                 |     3456 |  8.69575     |  57.2189      |       0.000852792 |
| ('WN_Defect_Sub_shift', 'weighted', 'Testing', 'Energy')                 |        4 |  0.920439    |   1.22696     |      -1.28715     |
| ('WN_Defect_Sub_shift', 'weighted', 'Testing', 'Force')                  |     1536 | 19.4083      |  41.2673      |       0.00132889  |
